contractId,contractAddress,creator,global_funder,global_funding,global_owner,estimatedRewards,global_period,global_total
299950,KYNK5JVYMWLNLSLAOTJBFK4RKL7YS67T5S74GXAVAS4WDGZ5HXA6UMM6TA,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,LRZ6WE5XZC6P7NLDC7NT2AMHC4N4LWXMCCIJAWRH4ZYGBJCCY6KYZUVUPQ,29264.53254,1,0
297494,U6XWEDU4DZAYH42BOAZ3SATVXZACBNS33GW722YDOPT4JKSGS2YV5U4QQE,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,AIB45TC6JDL5AYHD42KXBQWTURYFNTKS6INENC6D6YKYYIJR5TGAB745FE,7.557989,0,0
297487,K64F2KSNSG6WUUAHMJ2Z5T6KGJAMRRS4GWUAXKBZLVNNZF5M3F6XFYLUOQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,ULI2EWZ3FLYMRLR4IQRCDF2QCTRXGRGVBBPEVB5DS4N3S3H3GEOBZOS4HY,7.557989,0,0
297480,U7RNZY5DVUI4OLXNMA2H5W7RCEU4BIJILTVV7PJLKZDWNFK6CHK427RJ6Q,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,DRQ6F6NMG5WATFKWBR2KYMDXKAZMTG2CB2RRGVZAOJMUFU6KU57OLUORF4,7.557989,0,0
297473,ADBWS6YCEIW4GC37S6WB5FWTVU5CFONPQAHI3ZBIAY3M5RUYP57XSRLNWQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,EB7HBFMLBRCX6JBJFMNOJFUFCTSQTLMAJGUJQNFNXJK5VIDQYB2KA6O4E4,7.557989,0,0
297466,FAK4FGBNREIISKDKDPZFCC2ZMSPZV5XLUHUAQGUFEUHXXE4STWPC232YXE,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,A7BWD743TPVRV2WN7GZRPIH4YDJAH4LYMPNSKANYMCUBCUE7GRO2XA4UUY,7.557989,0,0
297459,K375FFSIAVPZMILOIDOFXNASJP54CSYRAESWR4GX3OZ2FDTNEH2W26QS4M,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,3LMASP625KNMLHMG22WMP7L6FKCCBJ4AUSOLCZBXYTTF7WUVK4WZLOWR24,7.557989,0,0
297452,G3UMJQU6MSDEPRZCYHIOUSKSOUSSVGKZMMNDJ2YNMLTBPSUS53K3LYJLSQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,OGAQWRU6U2AXCBNI3EAFAKS2UGFZXU23NFTL3CLWD526W4CF7B5ZA5RTAA,1738.337418,0,0
297445,3FXNXVTDNOBG4QAQF6E2OO43B3LMCFKOACZYOTR3DRAIEHKPZJZKWT3YBA,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,CZZWCBXBNQ4RKRVPOYO6KBDCVGJEN5U2RHWW6WE32MAJTAXMUP54KVHY6E,15.115978,0,0
297438,OZTFENUXGC6RPKDEBTVJQM46ASVKIJS45YBLW2QHVZRVITFDHZPPOT7KXI,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,OM7XNMFRRGIFTTAQJ6O7BDF2BDV6OE5URFRY47XZKVTCUSEGNNFM2FKNBA,22.673966,0,0
