Address,Amount
BNER4UJCBVZQUFKESMVLF6KQVQJFYXXIUSDYXONQ66QYBEUI4WFDG2JXCM,19.744462
LD4NG2LH25FXVOHNBW64MYDQUHPRGJKDF35MLGYSJDGYKOJ24YHJMIY3EE,19.744462
WATASSGXKHXZO5GFBCH6LDFMNMJXRYSRIRCLE2RVK5K5Y3O4ZIGB6QO7FI,19.744462
27LL4HB2V3JO544NSGQQ7WHV7UCUXPGHKDUYQBXSQD23R3HYN7A5DHUETU,19.744462
S4KFICVAVV7DEROQQCK6CDU4ECEGU7GKGP6QB2N6H75RC6JJ6LZT6A6OTM,19.744462
JMICGR5IZSVMW5UVDGR4WXL7HBLDB4Y4XNGPOQHVVKQD62OYAHKRJDH6IY,19.744462
ACIFT2FI6JMRBWSIH4U4IOETIASOHRX3I4WKADKLEQB2OH3TAJ32IRYEKY,19.744462
3QLOSDULBSQEIAAJFRA2ALK3SHO6XJ3UBMDTE73KZ7NKWUNP7GIR6OVDT4,19.744462
OMLS4OULSRYP4YVNAF56RL27BYGAUMA5MJYTWHNOPZAL4R2JI4AAKRKV5Y,19.744462
ZBU43VYO3IIMOJROEIX6KK3GS2T6YMBAJQ3SDQRMIX2TMSGCZ4Q6WXQ6RY,19.744462
2NVFE2L2NFZKQSFE7NAOBYW37VAC66MQO53OIIHXMBOGTYSA4H3U7OHYKM,19.744462
IPWVIKGPV2QVAY4UIBD2DCLPPJE5W2B7ISYQXA4WR6ILRXT4ACFT4V6WYA,19.744462
BBHQI2YNZPR3AJEED7LE7XATFER4CEQ5F6OXX635RWHW6ZVW7RTK3IVU4Q,36.25
OSASRZ6BE7NY5OQOQOSVV3NRRLKV5NKMPPPGY7P5IJP4FXNHADU6TKJXVQ,39.488925
VMSJERCEXIDICO5MQUZEV6IAI5A577ZXPUCJ4MH44KNJUTETNIGNSIHMBI,39.488925
TQEYJP7ACKRLZEF7JDY2UYPIYVJ6IFABJVBWK65RGCSSIWAX2POZ2ZVIOU,39.488925
UPHSXCIIPEAQTZV5KSVG4AEHX3WWJEPGSBWTI2RDNJ3JBUCF5PIGOEXZDU,59.233388
PH4UC6BJB2XD2REPTF44AZR3IANGWWN37YYUZAVVJ5U3DJ4H2YHNBHSFDM,59.233388
KSMGUNSX2IWGPZUHU5GPLLD7762T3KUKTPQZXCKNTVMSNZNKQ6RA37AYPI,98.722313
27A3ANJ4DR6Y3O7HWB77OYIOW3KKZ42QUHQ3C6OTN53IN64MC3WZEYTJR4,98.722313
JRXEGJ5RSBPD4DIMAL74AGOAKWP3JEDGZRGJWBJYFMFW6W34X3DWB7ELKM,98.722313
OSBUJJTVAW2354WH6AOPUM3IMKUIG6D7MO6BZGEJXYW4L3MOMQY5BXE4VM,98.722313
EW7OF4X4RJ5AYALEOV2MBDQ2FI3RVTRWCRAV7HHSOSTWEGATPUEB3G4XHY,118.466776
WOFJSEQCSH6D2GGTU7AM73TAZHDUUQHA4DF3BMBXEVXOTCUPI3XC4N6UL4,138.211239
SE7WN5BI3X3IOKE2IZDDHD2P766P47SSISPUVEBCAQFTDNHAZRH2JETQGM,138.211239
ISE4QRK6NTZOTUQYHV2KFMI7KOMVSBUY4AWIYITC6V2JWF35L65KLSC67Q,138.211239
2VNT6NPP5ZSCPEATSDMM73QHYEWG4RMOYQSG7C3T7TPNEMKI6D4ECNH7DE,157.955702
