"TestnetTotal","MainnetP0","Address","initial","contractId","period","total"
"200000000","8778820.038006","CH6UXSEYWZW2YPXM6EIHY2M4TGEALCYDF7WSKWOO5PJ4PN6CYYTTEZ3IVY","8778820038006",36907,5,"21844513.476971"
"157618377.944456","6918516.873284","G3MSA75OZEJTCCENOJDLDJK7UD7E2K5DNC7FVHCNOV7E3I4DTXTOWDUIFQ","6918516873284",36914,5,"17215483.906130"
"151421500.975422","6646510.53474","QZMECVQU4K3TFBKUDOKCG6EQNRCIW75NHGYHSC2XFI6AFWF47SYNO3MDN4","6646510534740",36922,5,"16538645.093804"
"151379746.601858","6644677.764083","R7TBR3Y5QCM6Y2OPQP3BPNUQG7TLN75IOC2WTNRUKO4VPNSDQF52MZB4ZE","6644677764083",36929,5,"16534084.573923"
"150000000","6584115.028504","KBISMS2R2JHEN7JHKGVTA3G57SBKZVMNNISKK6N4H6WADAAOZNEH5NWYD4","6584115028504",36936,5,"16383385.107727"
"126190702.65","5539027.345169","HI4GEV4ZU32TGWUPKC5FKNCK6DZOLX2RRX4BVB3QG6WUHQ2UAS4GM3CN5U","5539027345169",36943,5,"13782872.523531"
"94355434.400565","4141646.891052","UD5LOVE643WWV7CFQVMAYW6L5J6OW2ST3TTYYIKGDSRC3AEMFKV2RC667U","4141646891052",36950,0,"4141646.891052"
"77421706.421101","3398356.138531","INTERNSYWPVN6HR3PCQQPGNUTXF4J3PMQWXROFMTXC65ORSODSHDOQZWPE","3398356138531",36957,0,"3398356.138531"
"63941908.676656","2806672.545795","URFANYZIZPZFOCPUE6PIRY3ZK7IHP5MRXZBTJ3I3YG526CQRVWEPITEQPM","2806672545795",36964,0,"2806672.545795"
"53750009.9085","2359308.320139","PAYRAWLB7KHKBUBAFIPPUB47Z3BS7QRVYWYUJMLKRJT7QCYKYLXMW653MM","2359308320139",36971,5,"5870714.079168"
"51132593.816495","2244419.195957","DIT3MNSV4QU7SMB7XBLTYWKOZTI3F5LT45FDSN63VTVBU7KGZDFLOZPRPI","2244419195957",36978,0,"2244419.195957"
"50756786.112808","2227923.454959","EM6YOBT4UOMEGWZO74OLOSA55V6EH6DUQSCAJA6FNMQ5IS5U3GZXBUR2OI","2227923454959",36985,5,"5543786.491444"
"40000003.7465","1755764.17205","VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM","1755764172050",36993,5,"4368903.104595"
"37109903.423335","1628905.818906","LLG4LGFISZLJ3QXLCZFY63DOIWKYSDJDEJKTQBFAASOGXXFEQQBIS7W6NM","1628905818906",37000,5,"4053238.927300"
"36689129.658556","1610436.333118","O7FC4I7PX57TSJBN5XOR7WJJNHD6XBMY5IDG32RBAFRLNXN5RISQR6X7AM","1610436333118",37007,0,"1610436.333118"
"36522477.758654","1603121.297926","XQBFLQHVKRCPVGDBVPMW5GKVSTH4B32UCGTAWYPXEBGNPLIFXO5RFSYVOI","1603121297926",37014,5,"3989078.788055"
"36448986.830868","1599895.479779","NGQDBWCPJIG7GEH5VOLMB4SHZMSVJAA5VXYAJV35QCRT5LSRYAIGVTAWRI","1599895479779",37021,0,"1599895.479779"
"34316292.085522","1506282.762952","THR5YY55H6VRJVMI5VECAIMNTCE36XCO44S2WIXNFDSRWSIHLXCGQ2H6UU","1506282762952",37028,0,"1506282.762952"
"31922067.18179","1401190.41515","F2FCCNTSRSK73HUJTUWSNHGFSJMZ3REYETHPJTPEZBTSPT4MA7LJ5RCPHA","1401190415150",37035,0,"1401190.415150"
"27627499.351169","1212684.22452","NORVOI324M6ME7ECXBOXAHWIYKV5EM335OGA7S6KVHBQFXXZ7FYVWIB2T4","1212684224520",37042,5,"3017546.409558"
"26480285.316078","1162328.296724","RWNOVLS5ZJM5GHM5WXIRMHG7NHXCYWLWYB5E4DTPILHQ7IIVNM5CVR4PVE","1162328296724",37049,0,"1162328.296724"
"26475270.741077","1162108.186467","VOIAGERRJ3PEOLUX35M5LQ4RVVV3PUYJTJ663EARDQLHXJOZ7WNGG2KEIM","1162108186467",37056,0,"1162108.186467"
"25395495.557085","1114712.426358","TNHCLNKYEGDUDD5XNICYCSTC5PMKS5EI2PBRCFJUESY732W5MC5FJQXT54","1114712426358",37063,0,"1114712.426358"
"23750010.999","1042485.362304","IDNS3P2CCLS2YTNKAQXVTWJSQ2XOH425BHXHMBNGNX4RTSBL6APEVK3Y6A","1042485362304",37070,0,"1042485.362304"
