Address,Amount,Note
B5AEQUDUSADZXTREO4NXLRVT252XCWYY5RMMTUMJ6VQ35NGNL7TTTI4E24,363693.0043,compensation-preblock
ZCMANJR5AIT5TNN3BOVGVNH466AJAQIR454ESLLNFWTPEW242O3ZPBTWEI,113412.1942,compensation-preblock
GZ24DF5JLXD7O5LRHZ6AZ672QJKQ43Y45ICD7GR5OJGZX5OJ5SGNHZXKRU,27918.67036,compensation-preblock
N6AHTV6CXJZSUHU6VBZOT37ATLUIGR3IBBBPQHCFJSH5WOOAJVJDOGPSJM,26773.49152,compensation-preblock
OI6LLQFVBWI43DOJYEX2SZSYQQNXQLWVC3KGSES5OWONNDMA3XL7SX6DRI,2013.935203,compensation-preblock
NORVOI324M6ME7ECXBOXAHWIYKV5EM335OGA7S6KVHBQFXXZ7FYVWIB2T4,1803.898597,compensation-preblock
2OYYVM7YQLO65WHHCM56JHLFGNC7L63Z2E2USVOCYDLV55DZAWHETLV66I,1619.045947,compensation-preblock
KC3S4DPPT4WBHPDYWCSK55RSM42GH7NZKZCCV4AR5ABIRCYGXPDOFP3IQQ,1362.367931,compensation-preblock
FVW7VRQ6W2JOG57HLHBDF27IV3OVKCGQNPEMT624RPOORGJYMFM5BIUPWM,1251.053639,compensation-preblock
MPYVBN7K2TXP4MVGAZJ7GO3BEMEXL7PY5OK4K4RVM3JAY53YMUHGALLZDU,1145.17884,compensation-preblock
2OYYVM7YQLO65WHHCM56JHLFGNC7L63Z2E2USVOCYDLV55DZAWHETLV66I,1125.434378,compensation-preblock
QZMECVQU4K3TFBKUDOKCG6EQNRCIW75NHGYHSC2XFI6AFWF47SYNO3MDN4,875.908846,compensation-preblock
2LA6B6WD3TCVLP7CKG2FK6FOHMJPYAXFJB2RZKXNJZSIAYREZWSRJT376M,856.164384,compensation-preblock
33JSCWIPL5EFN3TVO6ZAWUP56KNORNUC352EYVQPCCZ42TDDZAWQVXAW3Q,856.164384,compensation-preblock
4FT4TWM3AL7SYTCC3PMPMEKTOMBXIUICY6LFNLGKGS73O336PMN3IPG6FQ,856.164384,compensation-preblock
4IPBMO2B23GXWDXN4ZSAC76OVFYAPV7KPUCI6NPTK5BYBO4SNRR4HK3FK4,856.164384,compensation-preblock
64FB55TU7QVIB5S7IO74DYD4QHLOY45VVJOGXKMIPO3RC3U4H3KSMCPMMM,856.164384,compensation-preblock
6EMIIFYZHJQDSYET63QMLQZRL6LGGQTK2QYNC4Y4TCFLF4LF45BSON4D64,856.164384,compensation-preblock
BBC7A5QMAMS45VQBVIGMI2OVF234A4BVWUPEQKFAGCIBVGUP45FKMDD3XE,856.164384,compensation-preblock
BSCKOQ4EPV46VT6JZYQTORTRCSD57DCMAX5JJCSOTPVYJORD5RLGGLQZSA,856.164384,compensation-preblock
BXDTN5GGUKLPP2FZLGU6DSBB4Y7BJCI3QHNUU7GTUGA2ZOVQ77U3MSOISU,856.164384,compensation-preblock
C6YYUZ5GKITPYG5GDFYLHBLBEIFRCNCK42I36TVNNSJAS2YD2RL6FCJ3XQ,856.164384,compensation-preblock
CJGG3RLQUMTUBUKIPD7MYZIFT5JOI4ZAXDTCX5DM4DAZ4JN6MLGFR4GQTA,856.164384,compensation-preblock
CJGG3RLQUMTUBUKIPD7MYZIFT5JOI4ZAXDTCX5DM4DAZ4JN6MLGFR4GQTA,856.164384,compensation-preblock
CJHPE4333YKLLY5KZF2HR5G4YYYI6RO7JPJSTTEE3KZNNXMQM5V75B5P6U,856.164384,compensation-preblock
CVMLXGFWTNW7GBRQZZSQY2UHX2Y6CEHWCZV6NMXO2GU3T3QSQ6FKTRQNCE,856.164384,compensation-preblock
DBWU2IEHYZPFZ4JZN3CAO4D43MV2RSBOEIER6T4UXHMZTLH3T22GZTSKZU,856.164384,compensation-preblock
DBWU2IEHYZPFZ4JZN3CAO4D43MV2RSBOEIER6T4UXHMZTLH3T22GZTSKZU,856.164384,compensation-preblock
DHT2TX4EO23VU4RUZCG37TE7CFLG6I5T44QZSMQIQ67ZTVHEFQDVQET6OI,856.164384,compensation-preblock
DJAEAJPYEOJYE2TBF63PM2HWOAD64KWXYUXKZVNKEG2N34YR7O3MIDIBFU,856.164384,compensation-preblock
