App,Address,Amount,Note,
406919,NFZYPGTKBAA2WNR2N4G7HUUA5R3BEXBRLUAPH35FS2ZBMAMEXNKXGFSQNQ,394751.0442,compensation-fix-preblock,
37049,RWNOVLS5ZJM5GHM5WXIRMHG7NHXCYWLWYB5E4DTPILHQ7IIVNM5CVR4PVE,174340.71,compensation-fix-preblock-adhoc,
421766,KSMGUNSX2IWGPZUHU5GPLLD7762T3KUKTPQZXCKNTVMSNZNKQ6RA37AYPI,102848.9066,compensation-fix-preblock,
401126,RNEGLGIH4MOTTAUPGNNWXPZX56LZMAKN3WHXSIABPGUDR4I6JESVCO5Z7M,96925.56776,compensation-fix-preblock,
406125,KLGULEOCWWU2JY7W6K3DSSLJEYDBNQYWZUAT5NEHFFBYOWKDOT63MCOU7Q,76786.21573,compensation-fix-preblock,
49075,K7PBRB6OBLWSPB2XZGDDRWHXXG7WUFMPTLWGZG5WQGVF5YN2W5KARKEXJU,75000,compensation-fix-preblock-adhoc,
405969,CAL6HQKCWXZE2LQKLCFST2TYDU6GPUGM667B2EBGO2WSAUUF2XLI3K7LFA,70803.64351,compensation-fix-preblock,
41724,JRXEGJ5RSBPD4DIMAL74AGOAKWP3JEDGZRGJWBJYFMFW6W34X3DWB7ELKM,59339.26313,compensation-fix-preblock,
36950,UD5LOVE643WWV7CFQVMAYW6L5J6OW2ST3TTYYIKGDSRC3AEMFKV2RC667U,58351.07,compensation-fix-preblock-adhoc,
38488,ZHP62GN33O7LM4LUA5WRPM6CAZIO2R445UYITEU4OFMB6GMM7ABP54N6VA,50710.71,compensation-fix-preblock-adhoc,
53403,U2CPUYXJJ45QP7MDFKDZ3TK2QK2E4VEFLLFSS3NX5GUFRTOVGPPK7NPF74,50000,compensation-fix-preblock-adhoc,
65326,4ZIN4GDZ7AFUBHP77MHUAHNZVFOKEZD4SC5DGSYMYXJ3HDW2VCG3Q3R24M,42753.91439,compensation-fix-preblock-consolidated,
405956,I7VZ5WEIS3M7HUWBPGHTD44ZTIOYXFFNICB2JLYGIZHI2CFCGYEL5BANAE,35579.52192,compensation-fix-preblock,
400997,7WO47R4XY5TIO3YP4KFK7RU6Z72YL5VPPIOM2P5NNFH6YFYLQZVVJWMJFI,27563.27003,compensation-fix-preblock,
36964,URFANYZIZPZFOCPUE6PIRY3ZK7IHP5MRXZBTJ3I3YG526CQRVWEPITEQPM,27365.36,compensation-fix-preblock-adhoc,
37333,63VHG2ME45CQC6GSX3GQ2RGWJWYR4FOBPBHNIOS5TYNNTTXCHK2XRJ2DY4,27143.19683,compensation-fix-preblock-consolidated,
