"contractId","contractAddress","creator","global_funder","global_funding","global_owner","global_period","week","bonus_rate","bonus_amount","global_initial","global_total","initial","total"
454251,"EBTACYLGCN5K7YG6J2SWOUFPKDWXO7D6UKOG6P33XFAFUSBTQZXWB6YEFA","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"AFEHNOBZB4UJYAOKPPMPIVA7WBSTQT535TIFH3SPJ6LPJL2BWFD5ZKKMWU",1,5,0,0,1000000000,1000000000,1000,1000
450282,"M5A6JVYCVWAAWWTDQLICCQNUJNS26P2UQETLDVG6RUFM5SMX6HW3WV3O34","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"3S5QBFCYMWWVIKKRJZYTVS3UOQ2UWHRBH4TXG3VZA7VQMKN66D2DYJY3MQ",18,4,0.4,2896885813,7242214533,10139100346,7242.214533,10139.100346
447013,"SSVHZEJWIR2HZEJYIA6C2EAZKBYPNLZ3ZQNVDAJLS4K4FUUSEFYTWTAFFQ","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"3S5QBFCYMWWVIKKRJZYTVS3UOQ2UWHRBH4TXG3VZA7VQMKN66D2DYJY3MQ",18,4,0.4,579377,1448443,2027820,1.448443,2.02782
429288,"JJNIAUZDUFM4SJFTAE7YPJ7RQVKWVMXWEBORAYAMAUN3YLYRF7L7GN3YUI","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"HK5CDOPQVSZE7BBKYMWYAOQZY5PN3X4GRNXU4GWVSKZ2JWT3PIHWVE574Y",18,3,0.6,556495,927492,1483987,0.927492,1.483987
429162,"EBUQSAU6GARQORVAODDZCG3I56GQICOHG6MEY5BJSTHJJ5S5GPZ562TYRM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"3S5QBFCYMWWVIKKRJZYTVS3UOQ2UWHRBH4TXG3VZA7VQMKN66D2DYJY3MQ",18,3,0.6,13448221453,22413702422,35861923875,22413.702422,35861.923875
428934,"XKTKTIKSPKYPNEVFJ6UCPDK23NHGOU5VGQPKNYWT5QDKHI74VBDZE6LTDQ","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"NFZYPGTKBAA2WNR2N4G7HUUA5R3BEXBRLUAPH35FS2ZBMAMEXNKXGFSQNQ",18,3,0.6,531907266436,886512110727,1418419377163,886512.110727,1418419.377163
427736,"25EXJ4ZF7ARA6UZSUNSFN3OIGEY57I7MTOQVGMTXYRAXFBQODASHZHHYIM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"OVDREAWPFXYWMJLDRWI3LHCIIEDTZI7G7LK3AFLZXSBUSC2BPK3QGU7WII",18,3,0.6,2664053,4440088,7104141,4.440088,7.104141
427063,"2HHCKK7RPQA65HXR74QSP4UJEJH6XWQOR7W6F4IA5WIIGAYPIGHABWZMYA","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"SI7F2AZF2747JPYBFAOC5ZIZRZOTEMMYJ65ITDOT535BWRRSIQV3SCHZ54",18,3,0.6,19400564844,32334274740,51734839584,32334.27474,51734.839584
424171,"MESUVWR4TRXMLBGSZBNAEW7EJDPY5CV5PRFBI6KWYTW5PR7MQJKCEDJAKY","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"UPHSXCIIPEAQTZV5KSVG4AEHX3WWJEPGSBWTI2RDNJ3JBUCF5PIGOEXZDU",18,3,0.6,1003598,1672664,2676262,1.672664,2.676262
423060,"M76YHMI5CMURAQWZU7FF2NVTZSDHSSLTSMHW5SHQNKGI4ETDL2D55C2OM4","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",1730073600,"3S5QBFCYMWWVIKKRJZYTVS3UOQ2UWHRBH4TXG3VZA7VQMKN66D2DYJY3MQ",18,3,0.6,1003598,1672664,2676262,1.672664,2.676262
